Number,roles,Interactions,ValueAdd
1,"['Founder/CIO']","[('Founder/CIO', 'Founder/CIO')]","Initial Investment $408,200"
2,"[ 'Founder/CIO','Senior Trader']","[('Founder/CIO', 'Senior Trader')]","$816,400"
3,"[ 'Founder/CIO','Senior Trader', 'Financial Analyst']","[('Financial Analyst', 'Senior Trader'),('Founder/CIO', 'Senior Trader')]","$1,224,600"
4,"[ 'Founder/CIO','Senior Trader', 'Financial Analyst', 'IT/Systems Specialist']","[('Founder/CIO', 'IT/Systems Specialist'), ('Senior Trader', 'Financial Analyst'),('Founder/CIO', 'Senior Trader')]","$1,632,800"
5,"[ 'Founder/CIO','Senior Trader', 'Financial Analyst', 'IT/Systems Specialist','Portfolio Manager']","[('Founder/CIO', 'Senior Trader'),('Founder/CIO', 'IT/Systems Specialist'), ('Financial Analyst', 'Senior Trader'), ('Portfolio Manager', 'Senior Trader'), ('Financial Analyst', 'Portfolio Manager')]","$2,041,000"
6,"[ 'Founder/CIO','Senior Trader', 'Financial Analyst', 'IT/Systems Specialist','Portfolio Manager', 'Risk Manager']","[('Founder/CIO', 'Senior Trader'),('Founder/CIO', 'IT/Systems Specialist'), ('Financial Analyst', 'Senior Trader'), ('Portfolio Manager', 'Senior Trader'), ('Risk Manager', 'Senior Trader'), ('Financial Analyst', 'Portfolio Manager'), ('Portfolio Manager', 'Risk Manager')]","$2,487,396"
7,"[ 'Founder/CIO','Senior Trader', 'Financial Analyst', 'IT/Systems Specialist','Portfolio Manager', 'Risk Manager','Client Relations Manager']","[('Founder/CIO', 'Senior Trader'),('Founder/CIO', 'IT/Systems Specialist'), ('Financial Analyst', 'Senior Trader'), ('Portfolio Manager', 'Senior Trader'), ('Risk Manager', 'Senior Trader'), ('Financial Analyst', 'Portfolio Manager'), ('Portfolio Manager', 'Risk Manager')]","$2,933,792"
8,"[ 'Founder/CIO','Senior Trader', 'Financial Analyst', 'IT/Systems Specialist','Portfolio Manager', 'Risk Manager','Client Relations Manager', 'Chief Compliance Officer']","[('Founder/CIO', 'Senior Trader'),('Founder/CIO', 'IT/Systems Specialist'), ('Financial Analyst', 'Senior Trader'), ('Portfolio Manager', 'Senior Trader'), ('Risk Manager', 'Senior Trader'), ('Financial Analyst', 'Portfolio Manager'), ('Portfolio Manager', 'Risk Manager'), ('Chief Compliance Officer', 'Risk Manager')]","$3,380,188"
9,"[ 'Founder/CIO','Senior Trader', 'Financial Analyst', 'IT/Systems Specialist','Portfolio Manager', 'Risk Manager','Client Relations Manager', 'Chief Compliance Officer', 'Marketing Specialist']","[('Founder/CIO', 'Client Relations Manager'),('Founder/CIO', 'Senior Trader'),('Founder/CIO', 'IT/Systems Specialist'), ('Founder/CIO', 'Chief Compliance Officer'), ('Financial Analyst', 'Senior Trader'), ('Portfolio Manager', 'Senior Trader'), ('Risk Manager', 'Senior Trader'), ('Financial Analyst', 'Portfolio Manager'), ('Portfolio Manager', 'Risk Manager'), ('Chief Compliance Officer', 'Risk Manager'), ('Client Relations Manager', 'Marketing Specialist')]","$3,826,584"
10,"[ 'Founder/CIO','Senior Trader', 'Financial Analyst', 'IT/Systems Specialist','Portfolio Manager', 'Risk Manager','Client Relations Manager', 'Chief Compliance Officer', 'Marketing Specialist','HR Manager']","[('Founder/CIO', 'Chief Compliance Officer'),('Founder/CIO', 'Client Relations Manager'),('Founder/CIO', 'IT/Systems Specialist'), ('Founder/CIO', 'HR Manager'), ('Financial Analyst', 'Senior Trader'), ('Portfolio Manager', 'Senior Trader'), ('Risk Manager', 'Senior Trader'), ('Financial Analyst', 'Portfolio Manager'), ('Portfolio Manager', 'Risk Manager'), ('Chief Compliance Officer', 'Risk Manager'), ('Client Relations Manager', 'Marketing Specialist')]","$4,272,980"
11,"[ 'Founder/CIO','Senior Trader', 'Financial Analyst', 'IT/Systems Specialist','Portfolio Manager', 'Risk Manager','Client Relations Manager', 'Chief Compliance Officer', 'Marketing Specialist','HR Manager','Legal Advisor']","[('Founder/CIO', 'Client Relations Manager'),('Founder/CIO', 'IT/Systems Specialist'), ('Founder/CIO', 'Legal Advisor'), ('Founder/CIO', 'HR Manager'), ('Financial Analyst', 'Senior Trader'), ('Portfolio Manager', 'Senior Trader'), ('Risk Manager', 'Senior Trader'), ('Financial Analyst', 'Portfolio Manager'), ('Portfolio Manager', 'Risk Manager'), ('Chief Compliance Officer', 'Risk Manager'), ('Client Relations Manager', 'Marketing Specialist'), ('Chief Compliance Officer', 'Legal Advisor')]","$4,760,405"
12,"[ 'Founder/CIO','Senior Trader', 'Financial Analyst', 'IT/Systems Specialist','Portfolio Manager', 'Risk Manager','Client Relations Manager', 'Chief Compliance Officer', 'Marketing Specialist','HR Manager','Legal Advisor','Business Development Manager']","[('Founder/CIO', 'IT/Systems Specialist'), ('Founder/CIO', 'Legal Advisor'), ('Business Development Manager', 'Founder/CIO'), ('Founder/CIO', 'HR Manager'), ('Financial Analyst', 'Senior Trader'), ('Portfolio Manager', 'Senior Trader'), ('Risk Manager', 'Senior Trader'), ('Financial Analyst', 'Portfolio Manager'), ('Portfolio Manager', 'Risk Manager'), ('Chief Compliance Officer', 'Risk Manager'), ('Client Relations Manager', 'Marketing Specialist'), ('Chief Compliance Officer', 'Legal Advisor'), ('Business Development Manager', 'Marketing Specialist')]","$5,247,830"
